"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1","H1",14.6089445937926,13.3344970848026,12.5556680515309,11.6824354990748,11.3520231819293,11.0216108647837,11.1632161435604,11.517229340502,11.8240407778515,12.6028698111231,13.5941067625598,15.0809621897148,16.8038264148308,18.2198792025975,19.5887302307719,20.7687742205775,21.0755856579269,21.1463882973152,21.0283838983347,20.1551513458786,18.9515064762769,18.1490765632092,17.7242607268792,16.5442167370736,14.9865586705303,13.4997032433753,12.5556680515309,11.6352337394826,11.2576196627448,11.0452117445798,10.9508082253954,11.2576196627448,11.6116328596865,12.2488566141815,13.4052997241909,14.7269489927731,16.4262123380931,17.9602695248403,19.1639143944419,19.7303355095486,19.7775372691408,19.5651293509758,19.0459099954614,18.5266906399469,17.8422651258597,16.9690325734036,16.5914184966659,15.552979785637
"2","H2",16.7829553905011,14.5117145852186,13.2579896607026,12.0163780204815,11.3380340999704,11.1623914776953,11.0715418454839,11.3380340999704,11.822565471764,12.5311926030122,13.494198704452,14.6510173546092,15.9895352691891,17.2614301201473,18.1759830844077,18.9512332792775,19.6477471262308,19.9566358757492,20.1201652137296,20.1201652137296,19.9021260964225,18.727137519823,17.7823013448254,17.1100140664618,15.2566815693512,13.306442797882,12.0951143683979,10.7505398116707,10.4477077042997,9.87232670029477,9.95711969035865,10.4295377778574,10.9504090025355,11.8770752510908,13.0460071855429,14.2633922571743,15.7775527940294,17.0857874978721,18.2789460009139,19.4175947246289,20.3260910467419,21.1921908738229,21.5010796233414,21.5495327605207,21.1255678102013,19.5266142832824,18.496985118221,17.6732817861719
"3","H3",18.443623544413,17.4422171801459,15.654896960378,13.9563089501022,12.7140580172139,11.953496221568,11.4718070843256,11.2309625157044,11.5351872339628,12.2957490296087,13.5760280522792,14.830955015095,15.5281366611037,16.5548950852257,17.4041890903636,18.2788351553564,19.5464381480995,20.4210842130923,21.2069980685931,21.6886872058355,22.233756492715,22.2717845824973,21.9929119240938,21.1309418890285,20.0915074349791,18.6717920831068,16.6943314144274,14.919687224587,13.4365917230775,12.6760299274316,12.0549044609875,11.6239194434548,11.7126516529468,12.4098332989555,13.6013801121341,15.1478557632808,16.2379943370399,17.3788370305087,18.4689756042678,19.3816497590429,20.6239006919312,21.5619269065612,22.233756492715,22.70276960003,23.0576984379981,22.70276960003,22.2844606124248,21.2830542481577
"4","H4",20.5689773350393,19.503267227198,18.0823204167428,16.6768186803144,15.6342761835131,14.8542999451654,14.3330286967648,14.0511560957777,14.1013525863645,14.5106470480717,14.8929126302321,15.7616980442332,16.8467144946079,17.8815344543959,18.9781347102906,20.0824575031987,21.0130232133065,22.1559586912813,23.1405821604825,23.9205583988302,24.287378906964,24.264211295924,23.6541308718699,23.0440504478158,22.464860171815,21.2987570828002,19.5920764028514,17.985788704076,16.7463215134345,15.8543684883933,15.1438950831658,14.6882653993785,14.6496527143118,14.8774675562054,15.4180451471395,16.5416742825809,17.6653034180223,19.0167473953573,20.607590020106,21.912698775361,22.8818771705355,23.78155273259,24.3761880826174,23.4456223725096,21.6694388594407,20.1558216048254,18.9009093401572,18.5070599524767
"5","H5",19.0678944028805,17.4618619682146,15.1575545619549,13.0328035769622,11.5315123880355,10.3693833281686,9.66612067820621,9.17234051972199,9.08256230908849,9.36187229772603,9.73096049699706,10.2845927959036,10.8831142001269,11.7360072011451,12.7784319801673,14.0951790694586,15.4618029424351,17.1127244824177,18.3995455014978,19.4519456372571,20.1951097141677,20.2300234627474,19.6065636666814,18.3646317529181,17.3122316171588,15.9605707792879,14.0153762155621,12.2746764649461,10.9679047323919,9.99530745052902,9.34192158425192,8.93293195803267,8.91796892292709,9.24216801688137,9.60626853778388,9.9554060235808,10.3095311877462,10.8432127731787,11.6961057741969,12.6138385940059,13.6512756946596,15.1026900999011,16.4194371891924,17.2224534065253,17.8259624891171,17.5666032139537,16.6488703941446,15.167529918692
"6","H6",24.0046141872359,24.8313875917278,26.264148321103,27.5841672225928,29.0404158327774,30.2946686680009,31.154325105626,32.4931343117634,33.5500889481877,34.4144429619747,35.1848454525239,35.8002279297309,35.9881309762064,36.086780075606,35.5136757838559,34.5882532799644,33.5547865243496,32.7233155436958,30.98990993996,28.603541249722,26.5600956193018,25.2447742939738,24.3099566377585,23.7180620413609,23.5536468756949,23.7086668890371,24.16433177674,25.644068267734,27.1331999110518,28.7773515677118,29.7920280186791,29.7450522570603,31.7321269735379,32.38509006004,33.0568434511897,33.7332944185012,34.1231932399377,34.2171447631754,33.8178507894152,32.9394040471425,31.8824494107183,31.1026517678452,28.9276740048922,27.0486435401379,25.1977985323549,23.962336001779,23.2576995774961,22.7456637758506
"7","H7",25.5025462599031,24.735482900754,23.2460245306793,21.0321174325194,19.0523340905656,17.6419438311395,16.6335687057253,15.9496808915441,15.577444656348,15.7489300391832,16.3912300808803,17.2260661062996,18.323264498871,19.4676983861155,20.5381984556108,21.7837779129707,22.9692861434093,24.1871404191132,25.52411029008,26.3589463154993,26.7435048536537,26.9144768071989,26.457524739165,25.4645524924486,24.6466596335968,24.257993661123,22.9266715123455,20.8739812112222,19.0466863683764,17.6542661340977,16.6751564782093,15.9994835326669,15.6765365093036,15.8572636193575,16.3984180909393,17.1300548290835,18.2128772015369,19.4312449065308,20.5613027736574,21.6328297017325,22.6571211351344,23.6511202404307,24.6846534010513,25.4922776741046,26.0200829841482,26.0724527717207,25.6057455471782,24.6892742646606
"8","H8",18.0814024451339,16.6454810931144,15.5993274151208,14.8899871931969,14.3653709873991,14.2151287876166,14.6498459722331,15.328398858136,16.2323150437126,17.468734458316,19.0555137568383,20.847952459981,22.5683487968346,23.8472547351469,24.8139770862064,25.275171379801,25.4389600074327,25.5454841900653,25.3681491345844,24.993775128569,24.1514336150344,23.41192180381,22.642238403285,20.9310782672377,19.0647499576446,17.5518602655727,16.4065713655914,15.5562251446914,14.9891224151845,14.7249670721243,14.9127698218525,15.5051181668965,16.0894618045751,17.0007669507967,18.1380511434125,19.3504564359195,20.3455031361183,21.221710719276,22.1785811228087,22.9839778331181,23.5911040994522,23.9513159308979,23.8638798965983,23.0917335091916,21.9643012641025,21.0191300482578,20.1755570412824,18.6405004672752
"9","H9",19.181105886189,17.6419280282082,16.4944328473197,15.6305699498429,15.0011764066531,14.5759981075197,14.4960408161961,14.8531473673106,15.4025836191767,16.051426233229,17.0417080913122,18.1259937918975,19.2183832720089,20.1551801852201,20.9898694764031,21.5857673975519,21.8872279959209,22.2400125312883,22.3469824210321,22.1206168462711,21.6576209093496,21.0098587992341,20.2594488151219,19.6997477758562,18.5490110831572,17.1319301700355,16.0136085954408,15.1891840916574,14.6424490996333,14.2837217926136,14.1362330052395,14.4927993043856,15.0125216979896,15.711067493135,16.6532669260302,17.6802859179648,18.7100061697414,19.6462628309842,20.4971596812194,21.3458955235809,21.9331494132352,22.3053830194651,22.3599484682738,21.9644840274026,21.3096986416979,20.4858143898829,19.6748961853096,19.0822397759713
"10","H10",44.0786958965711,42.9387296233839,41.7037661607645,39.7088251826869,38.1888701517707,37.9038785834739,37.6188870151771,37.0489038785835,37.5238898257448,37.9038785834739,38.663856098932,39.043844856661,40.6587970770096,41.7037661607645,42.7487352445194,43.4137155705452,43.318718381113,43.318718381113,46.0736368746487,46.54862282181,47.3086003372681,47.0236087689713,47.1186059584036,46.2636312535132,45.4086565486228,44.4586846543002,42.5587408656549,41.0387858347386,39.6138279932546,38.5688589094997,37.9038785834739,37.6188870151771,37.3338954468803,38.3788645306352,38.7588532883643,40.2788083192805,40.8487914558741,41.3237774030354,43.4137155705452,44.2686902754356,45.4086565486228,45.3136593591906,46.4536256323777,46.9286115795391,47.6885890949972,47.7835862844295,47.6885890949972,46.8336143901068
